timestamp,node_id,soil_pct,payload_bytes,rtt_cloud_ms,jitter_ms,cpu_percent,ram_percent
1772113259.9574394,node1,100,51,135.428,0.8631,0.0,3.7
1772113266.1701407,node2,100,51,136.2813,0.0386,0.0,3.7
1772113269.3007767,node1,100,51,135.6928,0.2649,0.1,3.7
1772113278.0548105,node1,100,51,136.5056,0.8128,0.0,3.7
1772113278.8589513,node2,100,51,136.5643,0.283,0.0,3.7
1772113287.6374261,node1,100,51,136.4081,0.0975,0.0,3.7
1772113290.5685968,node2,100,51,136.3926,0.1717,0.0,3.7
1772113296.883142,node1,100,51,136.2951,0.113,0.0,3.7
1772113303.7753801,node2,100,51,136.3502,0.0424,0.0,3.7
1772113307.0213857,node1,100,51,135.1912,1.1039,0.0,3.7
1772113315.1963286,node1,100,51,136.4453,1.2541,0.0,3.7
1772113317.2368603,node2,100,51,136.2412,0.109,0.0,3.7
1772113323.220097,node1,100,51,136.5461,0.1009,0.0,3.7
1772113330.48368,node2,100,51,136.1072,0.134,0.0,3.7
1772113332.2047071,node1,100,51,136.1513,0.3948,0.0,3.7
1772113341.7965646,node1,100,51,136.1563,0.005,0.0,3.7
1772113343.4379733,node2,100,51,136.1318,0.0246,0.0,3.7
1772113350.083345,node1,100,51,137.2864,1.1301,0.0,3.7
1772113355.8350484,node2,100,51,136.5638,0.432,0.0,3.7
1772113360.488573,node1,100,51,136.2259,1.0605,0.0,3.7
1772113369.6947002,node2,100,51,136.3435,0.2203,0.0,3.7
1772113371.3732672,node1,100,51,136.229,0.0031,0.3,3.7
1772113381.0237913,node1,100,51,140.9307,4.7016,0.0,3.7
1772113382.9556174,node2,100,51,135.031,1.3125,0.0,3.7
1772113391.8248806,node1,100,51,133.99,6.9406,0.1,3.7
1772113395.6284983,node2,100,51,134.213,0.818,0.0,3.7
1772113401.6025617,node1,100,51,134.0013,0.0112,0.0,3.7
1772113409.5175896,node2,100,51,134.239,0.026,0.0,3.7
1772113409.772029,node1,100,51,134.074,0.0727,0.0,3.7
1772113420.4863477,node1,100,51,134.0225,0.0515,0.0,3.7
1772113421.9704256,node2,100,51,134.2516,0.0126,0.0,3.7
1772113430.2010715,node1,100,51,139.3504,5.3279,0.0,3.7
1772113434.3983378,node2,100,51,134.4213,0.1698,0.0,3.7
1772113438.201114,node1,100,51,133.5123,5.8382,0.1,3.7
1772113447.1306663,node1,100,51,134.3737,0.8614,0.0,3.7
1772113447.7332373,node2,100,51,133.9216,0.4997,0.0,3.7
1772113457.0252028,node1,100,51,134.9492,0.5755,0.0,3.7
1772113460.3828204,node2,100,51,133.5266,0.3951,0.0,3.7
1772113467.645256,node1,100,51,134.1434,0.8059,0.0,3.7
1772113472.2251813,node2,100,51,134.2947,0.7682,0.0,3.7
1772113477.2629292,node1,100,51,134.1727,0.0293,0.0,3.7
1772113484.2576451,node2,100,51,134.3246,0.0298,0.0,3.7
1772113488.2435732,node1,100,51,134.8009,0.6282,0.0,3.7
1772113497.1846805,node1,100,51,134.1023,0.6986,0.0,3.7
1772113498.1561918,node2,100,51,138.7269,4.4024,0.0,3.7
1772113507.872471,node1,100,51,134.4469,0.3445,0.0,3.7
1772113512.0781531,node2,100,51,134.2521,4.4749,0.0,3.7
1772113518.2527933,node1,100,51,137.6808,3.2339,0.0,3.7
1772113525.2448568,node2,100,51,134.191,0.061,0.0,3.7
